Country,Country IRN
Afghanistan,138002
Akrotiri and Dhekelia,601746
Åland,796407
Albania,139385
Algeria,137027
American Samoa,139143
Andorra,139386
Angola,137046
Anguilla,140824
Antarctica,137960
Antigua and Barbuda,140825
Argentina,141198
Armenia,138014
Aruba,140826
Australia,139152
Austria,139396
Azerbaijan,138091
Bahamas,140848
Bahrain,138109
Bangladesh,138176
Barbados,140849
Belarus,139403
Belgium,139418
Belize,140856
Benin,137059
Bermuda,140857
Bhutan,138201
Bolivia,141207
"Bonaire, Sint Eustatius and Saba",601744
Bosnia and herzegovina,139421
Botswana,137069
Bouvet island,137961
Brazil,141235
British Indian Ocean Territory,138202
"Virgin Islands, British",141167
Brunei Darussalam,138207
Bulgaria,139451
Burkina Faso,137115
Burundi,137132
Cambodia,138232
Cameroon,137143
Canada,140871
Cape verde,137185
Cayman Islands,140872
Central African Republic,137203
Chad,137218
Chile,141249
China,138268
Christmas island,138269
Clipperton Island,4502627
Cocos (keeling) islands,138270
Colombia,141283
Comoros,137222
Cook Islands,139153
Costa Rica,140880
Côte d'Ivoire,137263
Croatia,139473
Cuba,140897
Curaçao,4725113
Cyprus,138277
Czech Republic,139488
"Congo, the Democratic Republic of the",137246
Denmark,139505
Djibouti,137270
Dominica,140898
Dominican Republic,140929
Ecuador,141306
Egypt,137297
El Salvador,140944
Equatorial Guinea,137306
Eritrea,137314
Estonia,139521
Ethiopia,137326
Falkland islands (malvinas),141307
Faroe Islands,139522
Fiji,139173
Finland,139529
France,139632
French Guiana,141308
French Polynesia,139174
French Southern Territories,137962
Gabon,137336
Gambia,137343
Georgia,138290
Germany,139649
Ghana,137354
Gibraltar,139650
Greece,139718
Greenland,140945
Grenada,140946
Guadeloupe,140947
Guam,139135
Guatemala,140970
Guernsey,552558
Guinea,137395
Guinea-Bissau,137405
Guyana,141319
Haiti,140980
Heard island and mcdonald islands,137963
Honduras,140999
Hong Kong,138291
Hungary,139762
Iceland,139769
India,138327
Indonesia,138360
"Iran, Islamic Republic of",138389
Iraq,138408
Ireland,139799
Isle of Man,581857
Israel,138415
Italy,139904
Jamaica,141016
Japan,138465
Jersey,552577
Jordan,138484
Kazakhstan,138502
Kenya,137414
Kiribati,139198
Kosovo,601747
Kuwait,138540
Kyrgyzstan,138549
Lao People's Democratic Republic,138568
Latvia,139957
Lebanon,138575
Lesotho,137425
Liberia,137441
Libyan Arab Jamahiriya,137476
Liechtenstein,139969
Lithuania,139980
Luxembourg,139996
Macao,138576
"Macedonia, the former Yugoslav Republic of",139997
Madagascar,137483
Malawi,137511
Malaysia,138593
Maldives,138614
Mali,137521
Malta,139998
Marshall Islands,139231
Martinique,141018
Mauritania,137535
Mauritius,137553
Mayotte,137554
Mexico,141051
"Micronesia, Federated States of",139236
"Moldova, Republic of",140012
Monaco,140013
Mongolia,138637
Montenegro,417337
Montserrat,141052
Morocco,137625
Mozambique,137637
Myanmar,138652
Namibia,137651
Nauru,139237
Nepal,138667
Netherlands,140026
New Caledonia,139238
New Zealand,139255
Nicaragua,141071
Niger,137660
Nigeria,137698
Niue,139256
Norfolk Island,139257
"Korea, Democratic People's Republic of",138516
Northern Cyprus,601748
Northern Mariana Islands,139258
Norway,140048
Oman,138677
Pakistan,138686
Palau,139259
Panama,141085
Papua New Guinea,139280
Paracel Islands,330290
Paraguay,141338
Peru,141364
Philippines,138768
Pitcairn,139281
Poland,140065
Portugal,140086
Puerto Rico,141086
Qatar,138778
Congo,137223
Réunion,137717
Romania,140129
Russian Federation,140219
Rwanda,137716
Saint Helena,137718
Saint Kitts and Nevis,141087
Saint Lucia,141088
Saint Pierre and Miquelon,141089
Saint Vincent and the Grenadines,141090
Saint-Barthélemy,313302
Saint-Martin,601749
Samoa,139293
San Marino,140220
Sao Tome and Principe,137721
Saudi Arabia,138792
Senegal,137733
Serbia,112352
Seychelles,137734
Sierra Leone,137739
Singapore,138793
Sint Maarten,582536
Slovakia,140234
Slovenia,140428
Solomon Islands,139302
Somalia,137758
South Africa,137768
South Georgia and the South Sandwich Islands,137966
"Korea, Republic of",138533
South Sudan,468060
Spain,140481
Spratly islands,601750
Sri Lanka,138819
Sudan,137795
Suriname,141375
Svalbard and jan mayen,140482
Swaziland,137800
Sweden,140504
Switzerland,140531
Syrian Arab Republic,138834
"Taiwan, Province of China",138858
Tajikistan,138863
"Tanzania, United Republic of",137827
Thailand,138941
Timor-Leste,138942
Togo,137833
Tokelau,139316
Tonga,139317
Trinidad and Tobago,141107
Tunisia,137858
Turkey,139025
Turkmenistan,139032
Turks and Caicos Islands,141108
Tuvalu,139318
Uganda,137937
Ukraine,140559
United Arab Emirates,139040
United Kingdom,141424
United States of America,141166
United states minor outlying islands,139328
Uruguay,141395
Uzbekistan,139055
Vanuatu,139335
Holy See (Vatican City State),139719
Venezuela,141421
Vietnam,139056
"Virgin islands, u.s.",141168
Wallis and futuna,139336
Western Sahara,137938
Yemen,139142
Zambia,137948
Zimbabwe,137959
